platform	target	subtarget	device	name	soc	edition	channel	max_feature
mtk	mediatek	filogic	cudy_ap3000outdoor-v1	Cudy AP3000 Outdoor v1	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_ap3000outdoor-v1	Cudy AP3000 Outdoor v1	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_ap3000wall-v1	Cudy AP3000 Wall v1	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_ap3000wall-v1	Cudy AP3000 Wall v1	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_ap3000wall-v1	Cudy AP3000 Wall v1	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_ap3000wall-v1	Cudy AP3000 Wall v1	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_m3000-v1	Cudy M3000 v1/v2	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_m3000-v1	Cudy M3000 v1/v2	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_m3000-v1	Cudy M3000 v1/v2	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_m3000-v1	Cudy M3000 v1/v2	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_m3000-v1-ubootmod	Cudy M3000 v1/v2 (OpenWrt U-Boot layout)	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_m3000-v2-yt8821	Cudy M3000 v2 with Motorcomm YT8821	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_m3000-v2-yt8821	Cudy M3000 v2 with Motorcomm YT8821	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_m3000-v2-yt8821	Cudy M3000 v2 with Motorcomm YT8821	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_m3000-v2-yt8821	Cudy M3000 v2 with Motorcomm YT8821	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_m3000-v2-yt8821-ubootmod	Cudy M3000 v2 with Motorcomm YT8821 (OpenWrt U-Boot layout)	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_re3000-v1	Cudy RE3000 v1	mt7981	open	edge	core
mtk	mediatek	filogic	cudy_re3000-v1	Cudy RE3000 v1	mt7981	open	lts	core
mtk	mediatek	filogic	cudy_re3000-v1	Cudy RE3000 v1	mt7981	pro	edge	core
mtk	mediatek	filogic	cudy_re3000-v1	Cudy RE3000 v1	mt7981	pro	lts	core
mtk	mediatek	filogic	cudy_tr3000-256mb-v1	Cudy TR3000 256mb v1	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cudy_tr3000-256mb-v1	Cudy TR3000 256mb v1	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cudy_tr3000-256mb-v1	Cudy TR3000 256mb v1	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cudy_tr3000-256mb-v1	Cudy TR3000 256mb v1	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	cudy_tr3000-v1	Cudy TR3000 v1	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cudy_tr3000-v1	Cudy TR3000 v1	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cudy_tr3000-v1	Cudy TR3000 v1	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cudy_tr3000-v1	Cudy TR3000 v1	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	cudy_tr3000-v1-ubootmod	Cudy TR3000 v1 (OpenWrt U-Boot layout)	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cudy_tr3000-v1-ubootmod	Cudy TR3000 v1 (OpenWrt U-Boot layout)	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cudy_tr3000-v1-ubootmod	Cudy TR3000 v1 (OpenWrt U-Boot layout)	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cudy_tr3000-v1-ubootmod	Cudy TR3000 v1 (OpenWrt U-Boot layout)	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	cudy_wbr3000uax-v1	Cudy WBR3000UAX v1	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cudy_wbr3000uax-v1	Cudy WBR3000UAX v1	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cudy_wbr3000uax-v1	Cudy WBR3000UAX v1	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cudy_wbr3000uax-v1	Cudy WBR3000UAX v1	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	cudy_wbr3000uax-v1-ubootmod	Cudy WBR3000UAX v1 (OpenWrt U-Boot layout)	mt7981	open	edge	standard-usb
mtk	mediatek	filogic	cudy_wbr3000uax-v1-ubootmod	Cudy WBR3000UAX v1 (OpenWrt U-Boot layout)	mt7981	open	lts	standard-usb
mtk	mediatek	filogic	cudy_wbr3000uax-v1-ubootmod	Cudy WBR3000UAX v1 (OpenWrt U-Boot layout)	mt7981	pro	edge	standard-usb
mtk	mediatek	filogic	cudy_wbr3000uax-v1-ubootmod	Cudy WBR3000UAX v1 (OpenWrt U-Boot layout)	mt7981	pro	lts	standard-usb
mtk	mediatek	filogic	cudy_wr3000-v1	Cudy WR3000 v1	mt7981	open	edge	core
mtk	mediatek	filogic	cudy_wr3000-v1	Cudy WR3000 v1	mt7981	open	lts	core
mtk	mediatek	filogic	cudy_wr3000-v1	Cudy WR3000 v1	mt7981	pro	edge	core
mtk	mediatek	filogic	cudy_wr3000-v1	Cudy WR3000 v1	mt7981	pro	lts	core
mtk	mediatek	filogic	cudy_wr3000e-v1	Cudy WR3000E v1	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_wr3000e-v1	Cudy WR3000E v1	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_wr3000e-v1	Cudy WR3000E v1	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_wr3000e-v1	Cudy WR3000E v1	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_wr3000e-v1-ubootmod	Cudy WR3000E v1 (OpenWrt U-Boot layout)	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_wr3000e-v1-ubootmod	Cudy WR3000E v1 (OpenWrt U-Boot layout)	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_wr3000e-v1-ubootmod	Cudy WR3000E v1 (OpenWrt U-Boot layout)	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_wr3000e-v1-ubootmod	Cudy WR3000E v1 (OpenWrt U-Boot layout)	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_wr3000h-v1	Cudy WR3000H v1	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_wr3000h-v1	Cudy WR3000H v1	mt7981	open	lts	standard
mtk	mediatek	filogic	cudy_wr3000h-v1	Cudy WR3000H v1	mt7981	pro	edge	standard
mtk	mediatek	filogic	cudy_wr3000h-v1	Cudy WR3000H v1	mt7981	pro	lts	standard
mtk	mediatek	filogic	cudy_wr3000h-v1-ubootmod	Cudy WR3000H v1 (OpenWrt U-Boot layout)	mt7981	open	edge	standard
mtk	mediatek	filogic	cudy_wr3000h-v1-ubootmod	Cudy WR3000H v1 (OpenWrt U-Boot layout)	mt7981	open	lts	standard
